timebucket;CONNACK;PINGRESP;PUBACK;PUBLISH;SUBACK
1549359000000;32,666666666666664;;;;25,0
1549359001000;3,0;;;;2,0
1549359002000;2,6666666666666665;;21,666666666666668;16,0;4,666666666666667
1549359003000;5,0;;6,333333333333333;5,333333333333333;4,666666666666667
1549359004000;2,3333333333333335;;9,333333333333334;8,666666666666666;7,333333333333333
1549359005000;2,3333333333333335;;7,666666666666667;6,333333333333333;4,333333333333333
1549359006000;2,3333333333333335;;9,0;8,666666666666666;7,666666666666667
1549359007000;3,6666666666666665;;7,5;6,75;5,333333333333333
1549359008000;8,0;;12,75;12,25;8,666666666666666
1549359009000;2,3333333333333335;;6,6;6,0;6,666666666666667
1549359010000;2,6666666666666665;;8,25;7,125;11,666666666666666
1549359011000;3,6666666666666665;;7,875;7,0;8,666666666666666
1549359012000;1,3333333333333333;;12,6;12,4;10,666666666666666
1549359013000;1,3333333333333333;;8,166666666666666;7,833333333333334;6,666666666666666
1549359014000;1,0;;4,75;3,375;2,0
1549359015000;1,6666666666666667;;6,5;6,5;4,333333333333333
1549359016000;1,6666666666666667;;8,375;6,625;10,0
1549359017000;2,0;;11,4;9,5;11,333333333333334
1549359018000;2,0;;8,1;7,7;7,333333333333333
1549359019000;2,0;;7,555555555555555;6,888888888888889;2,6666666666666665
1549359020000;1,3333333333333333;;10,285714285714286;7,857142857142857;6,333333333333333
1549359021000;1,0;;11,0;8,363636363636363;6,0
1549359022000;1,0;;11,0;9,090909090909092;5,0
1549359023000;1,0;;56,83333333333333;55,0;93,33333333333334
1549359024000;1,0;;10,166666666666666;8,583333333333332;12,666666666666666
1549359025000;1,0;;11,083333333333332;6,0;3,3333333333333335
1549359026000;1,0;;12,666666666666668;8,25;13,0
1549359027000;1,0;;11,818181818181818;10,545454545454545;5,666666666666667
1549359028000;0,6666666666666666;;12,071428571428571;9,785714285714286;6,333333333333333
1549359029000;1,0;;12,083333333333332;10,0;4,0
1549359030000;1,0;;8,714285714285714;6,0;18,0
1549359031000;1,0;;9,357142857142858;8,142857142857142;13,0
1549359032000;1,0;;16,46153846153846;14,538461538461538;8,0
1549359033000;1,0;;14,277777777777779;12,333333333333334;10,666666666666666
1549359034000;1,0;;8,5;7,625;7,333333333333333
1549359035000;0,6666666666666666;;8,4375;7,0;6,333333333333333
1549359036000;1,0;;13,142857142857142;11,428571428571429;11,0
1549359037000;0,6666666666666666;;9,294117647058824;7,470588235294118;7,0
1549359038000;0,6666666666666666;;11,333333333333334;8,38888888888889;9,666666666666666
1549359039000;1,0;;9,529411764705882;8,058823529411764;17,0
1549359040000;1,0;;13,052631578947368;11,894736842105264;12,333333333333334
1549359041000;1,0;;7,5;5,888888888888889;2,3333333333333335
1549359042000;1,0;;11,294117647058822;8,411764705882353;16,333333333333332
1549359043000;0,6666666666666666;;11,3;10,25;16,333333333333332
1549359044000;0,33333333333333337;;12,15;9,7;9,0
1549359045000;0,6666666666666666;;11,863636363636363;9,318181818181818;11,333333333333334
1549359046000;1,0;;12,944444444444445;12,0;18,666666666666668
1549359047000;0,6666666666666666;;10,6;7,95;17,333333333333332
1549359048000;1,0;;10,80952380952381;8,095238095238095;10,333333333333334
1549359049000;1,0;;12,52;11,2;9,333333333333334
1549359050000;0,6666666666666666;;11,583333333333334;10,333333333333332;16,0
