timebucket;CONNACK;PINGRESP;PUBACK;PUBLISH;SUBACK
1549361280000;39,0;;;;37,0
1549361281000;2,5;;;;2,5
1549361282000;2,0;;19,5;18,0;2,5
1549361283000;2,5;;6,0;5,0;2,5
1549361284000;2,5;;9,0;9,0;8,0
1549361285000;2,5;;11,0;8,5;5,5
1549361286000;3,0;;7,0;6,5;2,0
1549361287000;2,5;;10,333333333333334;7,666666666666667;10,5
1549361288000;1,5;;10,0;9,666666666666666;8,0
1549361289000;2,0;;9,333333333333334;6,333333333333333;8,5
1549361290000;1,5;;8,833333333333334;5,333333333333333;4,5
1549361291000;2,0;;8,5;7,166666666666667;7,5
1549361292000;2,0;;11,333333333333334;6,666666666666667;7,0
1549361293000;1,5;;10,0;10,0;5,0
1549361294000;1,5;;9,0;6,5;2,0
1549361295000;2,5;;4,0;3,25;9,0
1549361296000;1,5;;12,2;12,2;5,5
1549361297000;1,0;;11,285714285714286;9,142857142857142;8,5
1549361298000;1,5;;39,57142857142858;39,285714285714285;124,0
1549361299000;1,0;;14,0;14,0;9,5
1549361300000;1,0;;13,2;13,0;12,5
1549361301000;1,0;;14,428571428571429;14,428571428571429;11,5
1549361302000;1,5;;9,0;8,0;5,5
1549361303000;1,0;;8,571428571428571;7,857142857142857;11,0
1549361304000;1,0;;14,375;10,25;27,5
1549361305000;0,5;;11,88888888888889;11,777777777777779;21,0
1549361306000;1,0;;7,0;4,0;7,0
1549361307000;1,0;;8,125;8,0;3,0
1549361308000;1,0;;24,333333333333336;23,77777777777778;51,5
1549361309000;1,0;;23,0;21,5;34,0
1549361310000;1,0;;9,0;9,0;13,0
1549361311000;1,0;;8,7;7,4;5,5
1549361312000;1,0;;8,777777777777779;7,333333333333333;3,0
1549361313000;1,0;;13,833333333333332;12,5;17,5
1549361314000;1,0;;9,25;8,833333333333334;5,0
1549361315000;1,0;;12,2;8,5;6,5
1549361316000;1,0;;24,11111111111111;18,666666666666664;27,5
1549361317000;1,0;;18,181818181818183;14,727272727272727;16,0
1549361318000;1,0;;10,692307692307692;8,538461538461538;5,5
1549361319000;1,0;;8,307692307692308;7,307692307692308;9,5
1549361320000;1,0;;12,666666666666668;10,0;12,0
1549361321000;1,0;;12,923076923076923;11,153846153846153;13,0
1549361322000;1,0;;10,7;8,5;1,5
1549361323000;1,0;;9,928571428571429;8,571428571428571;1,0
1549361324000;1,0;;9,153846153846153;8,76923076923077;6,0
1549361325000;1,0;;8,133333333333333;6,2;4,5
1549361326000;1,0;;10,153846153846153;9,307692307692308;15,0
1549361327000;1,5;;13,416666666666666;13,25;0,5
1549361328000;1,0;;12,0;9,933333333333334;4,0
1549361329000;1,0;;14,8125;12,875;10,0
1549361330000;1,0;;15,294117647058822;12,294117647058822;22,5
1549361331000;1,0;;8,153846153846153;6,3076923076923075;12,0
1549361332000;1,0;;15,857142857142858;15,857142857142858;20,5
1549361333000;1,0;;15,666666666666666;13,0;9,0
1549361334000;1,0;;13,75;11,625;19,0
1549361335000;1,0;;16,5;13,777777777777779;18,0
1549361336000;1,0;;13,933333333333334;10,066666666666666;16,5
1549361337000;1,0;;11,875;10,625;4,5
1549361338000;1,0;;13,95;10,45;2,0
1549361339000;1,0;;14,75;13,375;29,5
1549361340000;1,0;;14,333333333333334;13,866666666666667;7,5
1549361341000;1,0;;13,6875;12,375;24,5
1549361342000;1,0;;15,041666666666668;12,041666666666668;18,0
1549361343000;1,0;;15,764705882352942;14,117647058823529;14,0
1549361344000;1,0;;15,05;11,75;31,5
1549361345000;1,0;;14,777777777777779;14,11111111111111;22,5
1549361346000;1,0;;16,526315789473685;15,210526315789474;6,5
1549361347000;1,0;;14,95;14,4;12,0
1549361348000;1,0;;17,55;17,25;18,0
1549361349000;0,5;;17,238095238095237;16,666666666666668;3,0
1549361350000;0,5;;19,736842105263158;16,263157894736842;18,5
1549361351000;1,0;;26,34782608695652;25,47826086956522;37,0
1549361352000;1,0;;16,72222222222222;13,666666666666666;11,5
1549361353000;1,0;;25,047619047619047;24,666666666666664;29,0
1549361354000;1,0;;20,4;15,65;18,5
1549361355000;1,0;;23,095238095238095;20,476190476190474;30,0
1549361356000;1,0;;22,75;21,666666666666668;30,0
1549361357000;0,5;;15,222222222222221;11,777777777777779;20,0
1549361358000;1,0;;37,333333333333336;35,0;44,0
1549361359000;1,0;;18,333333333333332;14,714285714285714;38,333333333333336
1549361360000;1,0;;23,75;22,083333333333332;39,5
1549361361000;1,0;;22,63157894736842;21,842105263157894;29,0
1549361362000;1,0;;29,192307692307693;27,192307692307693;18,5
1549361363000;1,0;;23,153846153846153;22,115384615384617;30,5
1549361364000;1,0;;23,82608695652174;22,347826086956523;26,0
1549361365000;1,0;;26,04;24,04;25,0
1549361366000;1,0;;26,423076923076923;23,5;16,0
1549361367000;1,0;;24,392857142857142;22,464285714285715;21,0
1549361368000;1,0;;25,863636363636363;20,954545454545453;40,0
1549361369000;0,5;;39,25;37,464285714285715;57,0
1549361370000;0,5;;23,96666666666667;20,7;26,0
1549361371000;0,5;;20,94736842105263;19,31578947368421;48,0
1549361372000;0,5;;25,6;24,066666666666666;48,5
1549361373000;1,0;;23,892857142857146;21,25;41,5
1549361374000;1,0;;23,576923076923077;22,46153846153846;51,0
1549361375000;1,5;;23,5;21,40909090909091;25,5
1549361376000;1,0;;31,4;28,516129032258064;36,0
1549361377000;0,5;;34,03030303030303;30,8125;52,5
1549361378000;1,0;;25,666666666666668;22,333333333333332;41,333333333333336
1549361379000;1,0;;33,516129032258064;31,93548387096774;57,0
1549361380000;1,0;;32,75;32,09375;53,0
1549361381000;1,0;;33,77777777777778;32,138888888888886;27,333333333333332
1549361382000;1,0;;23,0;20,65217391304348;38,0
1549361383000;1,0;;24,962962962962962;23,48148148148148;50,0
1549361384000;1,0;;35,74285714285714;31,714285714285715;56,333333333333336
1549361385000;0,5;;35,6;33,23076923076923;79,0
1549361386000;0,5;;36,5609756097561;33,609756097560975;47,5
1549361387000;1,0;;33,90909090909091;28,5625;49,333333333333336
1549361388000;1,0;;39,766666666666666;33,9;28,0
1549361389000;1,0;;38,54545454545455;35,303030303030305;49,666666666666664
1549361390000;1,0;;30,64;28,076923076923077;23,5
1549361391000;1,0;;35,648648648648646;30,756756756756758;57,0
1549361392000;1,0;;31,216216216216218;29,243243243243242;35,5
1549361393000;1,0;;43,285714285714285;42,55882352941177;50,333333333333336
1549361394000;1,0;;33,2972972972973;32,054054054054056;35,0
1549361395000;1,0;;48,82857142857143;45,65714285714286;77,5
1549361396000;0,5;;30,714285714285715;29,285714285714285;40,666666666666664
1549361397000;1,0;;24,424242424242426;23,03030303030303;48,0
1549361398000;1,0;;39,743589743589745;37,23076923076923;54,5
1549361399000;1,0;;40,66666666666667;40,60606060606061;52,0
1549361400000;1,0;;40,17948717948718;38,02564102564103;63,0
